message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)	1218	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java	METHOD	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java
DEREFERENCE_NULLABLE	dereferenced expression undesired is @Nullable	org.mockito.internal.exceptions.Reporter	noMoreInteractionsWanted(org.mockito.invocation.Invocation,java.util.List<org.mockito.internal.exceptions.VerificationAwareInvocation>)	22121	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field invocationForStubbing (line 39) is initialized along all control-flow paths (remember to check for exceptions or early returns).	org.mockito.internal.stubbing.InvocationContainerImpl	InvocationContainerImpl(org.mockito.mock.MockCreationSettings)	1580	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)	4241	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields typeToMock (line 27), defaultAnswer (line 31), mockName (line 32) are initialized along all control-flow paths (remember to check for exceptions or early returns).	org.mockito.internal.creation.settings.CreationSettings	CreationSettings()	2094	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.mockito.internal.util.MockUtil	<T>getMockHandler(T)	2575	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/MockUtil.java	METHOD	org.mockito.internal.util.MockUtil	<T>getMockHandler(T)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/MockUtil.java
DEREFERENCE_NULLABLE	dereferenced expression ongoingStubbing is @Nullable	org.mockito.internal.MockitoCore	getLastInvocation()	10706	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/MockitoCore.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()	1697	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java	METHOD	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.util.concurrent.WeakConcurrentMap$SimpleEntry	SimpleEntry(K,java.util.Map.Entry<org.mockito.internal.util.concurrent.WeakConcurrentMap.WeakKey<K>,V>)	11306	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/concurrent/WeakConcurrentMap.java	FIELD	org.mockito.internal.util.concurrent.WeakConcurrentMap$SimpleEntry	null	entry	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/concurrent/WeakConcurrentMap.java
FIELD_NO_INIT	@NonNull static field DISPATCHER not initialized	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	DISPATCHER	1033	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	FIELD	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	DISPATCHER	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
